ZEE BUSINESS LIVE TV - STOCK RECOMMENDATIONS
Date: 2026-08-27 | Time: 9:15 AM - 3:30 PM
For: Dad's Daily Trading

SCRIPT,ACTION,ENTRY RANGE,TARGET 1,TARGET 2,TARGET 3,STOP LOSS (SL),REMARKS / SOURCE
--- NIFTY 50 ---,,,,,,,
NIFTY 50,BUY,"23,425 - 23,575","23,675","23,775","23,800","23,575",Intraday support - Anil Singhvi
NIFTY 50,BUY,"24,075 - 24,200","24,235","24,265","24,300","24,000",Aggressive buy - Kunal Saraogi
NIFTY 50,SELL,"23,775 - 23,900","23,700","23,600","23,550","24,000",Intraday resistance
NIFTY 50,SELL,"24,300 - 24,425","24,265","24,235","24,200","24,525",Aggressive sell
NIFTY 50,CLOSE SL,,"24,075",,,"24,075",Closing stop loss - Anil Singhvi
NIFTY 50,CLOSE SL,,"24,300",,,"24,300",For short positions
--- NIFTY BANK ---,,,,,,,
NIFTY BANK,BUY,"53,200 - 53,550","54,100","54,375","54,450","53,000",Intraday support - Anil Singhvi
NIFTY BANK,BUY,"57,100 - 57,350","57,475","57,550","57,675","56,900",Best buy range
NIFTY BANK,SELL,"54,400 - 54,775","54,150","53,700","53,550","55,000",Intraday resistance
NIFTY BANK,SELL,"57,750 - 57,925","57,675","57,550","57,475","58,075",Aggressive sell
NIFTY BANK,CLOSE SL,,"57,200",,,"57,200",Closing stop loss - Anil Singhvi
NIFTY BANK,CLOSE SL,,"57,750",,,"57,750",For short positions
--- SEBI REGISTERED ANALYST PICKS ---,,,,,,,
SCRIPT,ACTION,ENTRY RANGE,TARGET 1,TARGET 2,TARGET 3,STOP LOSS (SL),REMARKS / SOURCE
LAURUS LABS,BUY,Rs 470 - Rs 480,Rs 485,Rs 495,Rs 505,Rs 460,Kunal Saraogi / Equityrush
TITAN,SELL,Not specified,"Rs 2,450","Rs 2,400","Rs 2,350","Rs 2,500",Kunal Saraogi recommendation
HPCL,BUY,Not specified,Rs 385,Rs 395,Rs 405,Rs 360,Rakesh Bansal / Rakesh Bansal Ventures
JSW STEEL,BUY,Rs 720 - Rs 740,Rs 760,Rs 780,Rs 800,Rs 710,Vikas Sethi pick
BHEL,BUY,Not specified,Rs 280,Rs 290,Rs 300,Rs 270,Analyst recommendation
FEDERAL BANK,BUY,Not specified,Rs 185,Rs 190,Rs 195,Rs 180,Analyst recommendation
NALCO,SELL,Not specified,Rs 141,Rs 138,,Rs 149,Anil Singhvi stock of the day
EICHER MOTORS,SELL,Not specified,"Rs 4,625","Rs 4,575",,"Rs 4,790",Anil Singhvi stock of the day
SAIL,SELL,Not specified,Rs 141,Rs 138,,Rs 149,Anil Singhvi stock of the day
JSW STEEL,BUY,"Rs 1,313 range","Rs 1,326","Rs 1,340",,"Rs 1,277",From market expert
TATA MOTORS PV,BUY,Rs 344 - Rs 355,Rs 348,Rs 355,,Rs 333,From market expert
COAL INDIA,BUY,Not specified,Rs 520,Rs 540,Rs 560,Rs 500,Sector pick
POWER GRID,BUY,Not specified,Rs 320,Rs 335,Rs 350,Rs 310,Long-term pick
ONGC,BUY,Not specified,Rs 280,Rs 295,Rs 310,Rs 265,Sector pick

--- TRADING RULES ---,,,,,,,
RULE,DESCRIPTION
1,Always use strict stop loss as suggested by analyst - never move SL away
2,Book partial profits at Target 1 and Target 2 - let Target 3 run
3,Do not over-leverage - trade within your risk capacity (max 2-3 stocks per session)
4,Exit immediately if stop loss is triggered - do not hope for reversal
5,Review portfolio at 1:30 PM before final trade call
6,"Final trade call during ""Final Trade"" segment at ~1:56 PM daily"
7,"Commodity tips every Friday at 4:30 PM - copper, gold, silver"
8,"Anil Singhvi strategy: Nifty SL at 24,000 for long, 24,300 for short"
9,"Nifty Bank SL at 57,000 for long, 57,750 for short (intraday)"
10,"If market opens gap up, use higher SL; if gap down, use lower SL"

--- SESSION TIMELINE (9:15 AM - 3:30 PM) ---,,,,,,,
TIME,ACTIVITY
9:15 AM,Market opens - start tracking
9:15-10:00 AM,First hour action - set up trades
10:00-11:00 AM,Main trading session
11:00-12:30 PM,Mid-session review
12:30-1:56 PM,Lunch break / final review
1:56 PM,Final Trade segment - Anil Singhvi live
2:00-3:30 PM,Closing actions - square off positions
3:30 PM,Market close - finalize P&L
,,,,,,,
NOTE:,All data based on Zee Business live TV transmissions
,,,,,,,Verify levels before trading
,,,,,,,Past performance does not guarantee future results
